id,canonical_slug,name,created,description,context_length,supported_parameters,hugging_face_id,knowledge_cutoff,expiration_date,supported_voices
inclusionai/ling-3.0-flash-vl,inclusionai/ling-3.0-flash-vl-20260910,inclusionAI: Ling 3.0 Flash VL,1789056114,"Ling 3.0 Flash VL builds on Ling 3.0 Flash (124B total / 5.5B active MoE from InclusionAI), further strengthening its language capabilities while adding native visual perception and advanced visual...",131072,frequency_penalty; include_reasoning; logit_bias; max_tokens; min_p; presence_penalty; reasoning; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_p,inclusionAI/Ling-3.0-flash-VL,,,
inclusionai/ling-3.0-flash-vl:free,inclusionai/ling-3.0-flash-vl-20260910,inclusionAI: Ling 3.0 Flash VL (free),1789056114,"Ling 3.0 Flash VL builds on Ling 3.0 Flash (124B total / 5.5B active MoE from InclusionAI), further strengthening its language capabilities while adding native visual perception and advanced visual...",262144,frequency_penalty; include_reasoning; logprobs; max_tokens; presence_penalty; reasoning; repetition_penalty; seed; stop; temperature; tool_choice; tools; top_k; top_logprobs; top_p,inclusionAI/Ling-3.0-flash-VL,,,
deepseek/deepseek-v4.1-flash,deepseek/deepseek-v4.1-flash-20260910,DeepSeek: DeepSeek V4.1 Flash,1789021285,"DeepSeek V4.1 Flash is a sparse mixture-of-experts model from DeepSeek, and the first built on the company's Causal Encoder-Decoder (CED) architecture. It activates 8B parameters on input and 16B on...",1048576,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,deepseek-ai/DeepSeek-V4.1-Flash,,,
inception/mercury-2.5,inception/mercury-2.5-20260908,Inception: Mercury 2.5,1788892137,"Mercury 2.5 is the fastest reasoning LLM, and the latest diffusion LLM (dLLM) from Inception. Instead of generating tokens sequentially, Mercury 2.5 produces and refines multiple tokens in parallel, achieving...",260000,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; stop; structured_outputs; temperature; tool_choice; tools,,,,
nex-agi/nex-n2.5-mini:free,nex-agi/nex-n2.5-mini-20260908,Nex AGI: Nex-N2.5-Mini (free),1788890061,"Nex-N2.5 is an agentic model built to turn goals into working, verified outcomes. Its core strength is agentic coding within a visual feedback loop: it can explore codebases, implement multi-file...",262144,include_reasoning; logprobs; max_tokens; reasoning; reasoning_effort; response_format; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,nex-agi/Nex-N2.5-mini,,,
nex-agi/nex-n2.5-pro:free,nex-agi/nex-n2.5-pro-20260907,Nex AGI: Nex-N2.5-Pro (free),1788890050,"Nex-N2.5 is an agentic model built to turn goals into working, verified outcomes. Its core strength is agentic coding within a visual feedback loop: it can explore codebases, implement multi-file...",262144,include_reasoning; logprobs; max_tokens; reasoning; reasoning_effort; response_format; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,nex-agi/Nex-N2.5-Pro,,,
openai/gpt-6-astra,openai/gpt-6-astra-20260903,OpenAI: GPT-6 Astra,1788552838,"GPT-6 Astra is OpenAI's flagship model for demanding end-to-end work. It is suited for advanced analysis, software engineering, deep research, scientific work, and document creation, with particular strengths in long-horizon...",1050000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,,,
openai/gpt-6-astra:batch,openai/gpt-6-astra-20260903,OpenAI: GPT-6 Astra (batch),1788552838,"GPT-6 Astra is OpenAI's flagship model for demanding end-to-end work. It is suited for advanced analysis, software engineering, deep research, scientific work, and document creation, with particular strengths in long-horizon...",1050000,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,,,
openai/gpt-6-astra-pro,openai/gpt-6-astra-pro-20260903,OpenAI: GPT-6 Astra Pro,1788552835,"GPT-6 Astra Pro is the same underlying model as [GPT-6 Astra](https://openrouter.ai/openai/gpt-6-astra), served with `reasoning.mode` set to `pro` for higher-quality responses on complex tasks.

Learn more in OpenAI's docs: https://developers.openai.com/api/docs/guides/reasoning#reasoning-mode",1050000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,,,
openai/gpt-6-astra-pro:batch,openai/gpt-6-astra-pro-20260903,OpenAI: GPT-6 Astra Pro (batch),1788552835,"GPT-6 Astra Pro is the same underlying model as [GPT-6 Astra](https://openrouter.ai/openai/gpt-6-astra), served with `reasoning.mode` set to `pro` for higher-quality responses on complex tasks.

Learn more in OpenAI's docs: https://developers.openai.com/api/docs/guides/reasoning#reasoning-mode",1050000,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,,,
inclusionai/ling-3.0-flash-sante:free,inclusionai/ling-3.0-flash-sante-20260904,inclusionAI: Ling 3.0 Flash Sante (free),1788545946,"Ling 3.0 Flash Sante is a health and medicine-focused mixture-of-experts model from InclusionAI, built on Ling 3.0 Flash with 5.1B active parameters out of 124B total. It is designed for...",262144,frequency_penalty; include_reasoning; logprobs; max_tokens; presence_penalty; reasoning; repetition_penalty; seed; stop; temperature; tool_choice; tools; top_k; top_logprobs; top_p,,,,
qwen/qwen3.8-max-0902,qwen/qwen3.8-max-20260902,Qwen: Qwen3.8 Max (0902),1788469704,"Qwen3.8 Max 0902 is an updated snapshot of Qwen3.8 Max from Alibaba's Qwen team. It is a 2.4-trillion-parameter mixture-of-experts model that accepts text, image, and video input and returns text,...",1000000,frequency_penalty; include_reasoning; logprobs; max_tokens; presence_penalty; reasoning; reasoning_effort; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,,,,
meta/muse-spark-1.3-contributor,meta/muse-spark-1.3-contributor-20260902,Meta: Muse Spark 1.3 Contributor,1788381519,"Muse Spark 1.3 Contributor is the cost-efficient contributor tier of Meta’s multimodal reasoning model for experimentation, learning, and early-stage agentic, multi-agent, and coding workflows. It is designed to track information...",1048576,include_reasoning; max_tokens; reasoning; reasoning_effort; repetition_penalty; response_format; structured_outputs; temperature; tool_choice; tools; top_k; top_p,,,,
meta/muse-spark-1.3,meta/muse-spark-1.3-20260902,Meta: Muse Spark 1.3,1788378359,"Muse Spark 1.3 is a multimodal reasoning model from Meta for long-running agentic, multi-agent, and coding workflows. It is designed to keep track of information across extended tasks, work through...",1048576,include_reasoning; max_tokens; reasoning; reasoning_effort; repetition_penalty; response_format; structured_outputs; temperature; tool_choice; tools; top_k; top_p,,,,
google/gemini-3.8-flash,google/gemini-3.8-flash-20260902,Google: Gemini 3.8 Flash,1788362056,"Gemini 3.8 Flash is Google's most intelligent Flash model with significant gains from 3.7 Flash across software engineering, agentic tasks, and multi-step reasoning.",1048576,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_p,,,,
google/gemini-3.8-flash:batch,google/gemini-3.8-flash-20260902,Google: Gemini 3.8 Flash (batch),1788362056,"Gemini 3.8 Flash is Google's most intelligent Flash model with significant gains from 3.7 Flash across software engineering, agentic tasks, and multi-step reasoning.",1048576,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; stop; structured_outputs; tool_choice; tools,,,,
anthropic/claude-fable-5.1,anthropic/claude-fable-5.1-20260831,Anthropic: Claude Fable 5.1,1788285838,"Claude Fable 5.1 improves on Claude Fable 5 across the board, with the biggest gains in agentic coding, long-running agentic workflows, and knowledge work: long code refactors, front-end and visual...",1000000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; stop; structured_outputs; tools; verbosity,,,,
anthropic/claude-fable-5.1:batch,anthropic/claude-fable-5.1-20260831,Anthropic: Claude Fable 5.1 (batch),1788285838,"Claude Fable 5.1 improves on Claude Fable 5 across the board, with the biggest gains in agentic coding, long-running agentic workflows, and knowledge work: long code refactors, front-end and visual...",1000000,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; stop; structured_outputs; tool_choice; tools; verbosity,,,,
ibm-granite/granite-4.2-8b,ibm-granite/granite-4.2-8b-20260831,IBM: Granite 4.2 8B,1788206780,"Granite 4.2 8B is a dense reasoning model from IBM. It is suited for mathematics, code generation, multilingual dialogue, and agentic workflows that need multi-step reasoning. It supports full, low-effort,...",131072,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,ibm-granite/granite-4.2-8b,,,
tencent/hy4-preview,tencent/hy4-preview-20260827,Tencent: Hy4 preview,1787897375,"Tencent: Hy4 preview is a mixture-of-experts model from Tencent, with 49B active parameters out of 770B total. It is designed for coding agents, complex tool-use workflows, and productivity tasks that...",1048576,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; stop; structured_outputs; temperature; tool_choice; tools,tencent/Hy4-preview,,,
inclusionai/ling-3.0-flash-fin,inclusionai/ling-3.0-flash-fin-20260827,inclusionAI: Ling 3.0 Flash Fin,1787846290,"Ling 3.0 Flash Fin is a finance-focused mixture-of-experts model from InclusionAI, built on Ling 3.0 Flash with 5.1B active parameters out of 124B total. It is designed for real-world investment...",262144,frequency_penalty; include_reasoning; logit_bias; max_tokens; min_p; presence_penalty; reasoning; repetition_penalty; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_p,,,,
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,inclusionAI: Ling 3.0 Flash Fin (free),1787846290,"Ling 3.0 Flash Fin is a finance-focused mixture-of-experts model from InclusionAI, built on Ling 3.0 Flash with 5.1B active parameters out of 124B total. It is designed for real-world investment...",262144,frequency_penalty; include_reasoning; logprobs; max_tokens; presence_penalty; reasoning; repetition_penalty; seed; stop; temperature; tool_choice; tools; top_k; top_logprobs; top_p,,,,
~z-ai/glm-flash-latest,~z-ai/glm-flash-latest,Z.ai: GLM Flash Latest,1787817633,This model always redirects to the latest model in the GLM Flash family.,1310720,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,,,,
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,Qwen: Qwen3.8 Flash,1787773060,"Qwen3.8 Flash is a multimodal reasoning model from Alibaba. It is suited for coding assistance, agentic workflows, visual understanding, document and codebase analysis, desktop interaction, chart analysis, and long-video analysis.",1000000,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,Qwen/Qwen3.8-Flash-Next,,,
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,Z.ai: GLM 5.3 Flash,1787752741,GLM-5.3-Flash is a native multimodal model from Z.ai. It is suited for efficient coding and long-horizon agent tasks. Its hybrid sparse and linear attention architecture maintains accurate long-context behavior while...,1310720,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,zai-org/GLM-5.3-Flash,,,
z-ai/glm-5.3-flash:batch,z-ai/glm-5.3-flash-20260826,Z.ai: GLM 5.3 Flash (batch),1787752741,GLM-5.3-Flash is a native multimodal model from Z.ai. It is suited for efficient coding and long-horizon agent tasks. Its hybrid sparse and linear attention architecture maintains accurate long-context behavior while...,1048576,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,zai-org/GLM-5.3-Flash,,,
meta/muse-spark-1.2-contributor,meta/muse-spark-1.2-contributor-20260805,Meta: Muse Spark 1.2 Contributor,1787336476,Muse Spark 1.2 contributor tier is a reasoning model from Meta designed for developers who want to start building at an even lower cost. It’s meaningfully cheaper than Muse Spark...,1048576,include_reasoning; max_tokens; reasoning; reasoning_effort; repetition_penalty; response_format; structured_outputs; temperature; tool_choice; tools; top_k; top_p,,,,
deepseek/deepseek-v4-flash-vision-exp,deepseek/deepseek-v4-flash-vision-exp-20260821,DeepSeek: DeepSeek V4 Flash Vision Exp,1787311563,"DeepSeek V4 Flash Vision Exp is an experimental vision-enabled version of [DeepSeek V4 Flash 0731](https://openrouter.ai/deepseek/deepseek-v4-flash-0731) from DeepSeek, adding image understanding while matching the base model on text capabilities including agents,...",1048576,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,deepseek-ai/DeepSeek-V4-Flash-Vision-Exp,,,
deepseek/deepseek-v4-flash-vision-exp:batch,deepseek/deepseek-v4-flash-vision-exp-20260821,DeepSeek: DeepSeek V4 Flash Vision Exp (batch),1787311563,"DeepSeek V4 Flash Vision Exp is an experimental vision-enabled version of [DeepSeek V4 Flash 0731](https://openrouter.ai/deepseek/deepseek-v4-flash-0731) from DeepSeek, adding image understanding while matching the base model on text capabilities including agents,...",1048576,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,deepseek-ai/DeepSeek-V4-Flash-Vision-Exp,,,
tencent/hy-mt2-1.8b,tencent/hy-mt2-1.8b-20260521,Tencent: Hy-MT2-1.8B,1787231581,"Hy-MT2-1.8B is a compact 1.8B-parameter translation model from Tencent. It supports 33 language pairs and five Chinese dialect and minority-language pairs, with workflows for structured, delimiter-based, contextual, glossary-based, and style-guided...",8192,max_completion_tokens; max_tokens; stop; temperature,tencent/Hy-MT2-1.8B,,,
tencent/hy-mt2-30b-a3b,tencent/hy-mt2-30b-a3b-20260521,Tencent: Hy-MT2-30B-A3B,1787231561,"Hy-MT2-30B-A3B is Tencent's flagship translation model in the Hy-MT2 family. It supports 33 language pairs and five Chinese dialect and minority-language pairs, with workflows for structured, delimiter-based, contextual, glossary-based, and...",8192,max_completion_tokens; max_tokens; response_format; stop; structured_outputs; temperature,tencent/Hy-MT2-30B-A3B,,,
~z-ai/glm-latest,~z-ai/glm-latest,Z.ai: GLM Latest,1787151053,This model always redirects to the latest GLM model from Z.ai.,1310720,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; parallel_tool_calls; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,,,,
tencent/hy-mt2-7b,tencent/hy-mt2-7b-20260521,Tencent: Hy-MT2-7B,1787148797,"Hy-MT2-7B is a 7B-parameter translation model from Tencent. It supports 33 language pairs and five Chinese dialect and minority-language pairs, with workflows for structured, delimiter-based, contextual, glossary-based, and style-guided translation.",8192,max_completion_tokens; max_tokens; response_format; stop; structured_outputs; temperature,tencent/Hy-MT2-7B,,,
z-ai/glm-5.3,z-ai/glm-5.3-20260816,Z.ai: GLM 5.3,1787086655,"GLM-5.3 is a large-scale reasoning model from Z.ai, built for complex software engineering and long-horizon agent tasks. It supports text input and output with a 1M-token context window, and improves...",1310720,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; parallel_tool_calls; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,zai-org/GLM-5.3,,,
z-ai/glm-5.3:batch,z-ai/glm-5.3-20260816,Z.ai: GLM 5.3 (batch),1787086655,"GLM-5.3 is a large-scale reasoning model from Z.ai, built for complex software engineering and long-horizon agent tasks. It supports text input and output with a 1M-token context window, and improves...",1048576,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,zai-org/GLM-5.3,,,
qwen/qwen3.8-27b,qwen/qwen3.8-27b-20260814,Qwen: Qwen3.8 27B,1786722910,"Qwen3.8 27B is an open-weight dense vision-language model from Qwen. It is suited for coding, professional workflows, research, multimodal interaction, and long-running agent tasks, with flexible thinking that can be...",1000000,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_a; top_k; top_logprobs; top_p,Qwen/Qwen3.8-27B,,,
dots-studio/dots-3-note-preview:free,dots-studio/dots-3-note-preview-20260813,Dots Studio: Dots3-Note Preview (free),1786680361,"Dots3-Note Preview is an open-weight mixture-of-experts model from Dots Studio, with 16B active parameters out of 280B total. It is the lightest model in the Dots 3 family and is...",512000,include_reasoning; max_tokens; reasoning; response_format; structured_outputs; temperature; tool_choice; tools; top_p,,,2026-09-30,
google/gemini-3.7-flash,google/gemini-3.7-flash-20260813,Google: Gemini 3.7 Flash,1786640581,"Gemini 3.7 Flash is a multimodal model from Google for fast agentic workflows, coding, and complex multi-step reasoning. It is designed for tasks that require responsive performance and reliable multi-step...",1048576,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_p,,,,
google/gemini-3.7-flash:batch,google/gemini-3.7-flash-20260813,Google: Gemini 3.7 Flash (batch),1786640581,"Gemini 3.7 Flash is a multimodal model from Google for fast agentic workflows, coding, and complex multi-step reasoning. It is designed for tasks that require responsive performance and reliable multi-step...",1048576,include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; seed; stop; structured_outputs; tool_choice; tools,,,,
bytedance-seed/seed-2-1-turbo,bytedance-seed/seed-2-1-turbo-20260810,ByteDance Seed: Seed 2.1 Turbo,1786552176,"Seed 2.1 Turbo is a multimodal model from ByteDance Seed for coding and long-horizon agent workflows. It is suited for end-to-end software delivery, multi-step task execution, and understanding visual and...",262144,frequency_penalty; include_reasoning; max_tokens; reasoning; response_format; stop; structured_outputs; temperature; tool_choice; tools; top_p,,,,
qwen/qwen3.8-2.4t-a95b,qwen/qwen3.8-2.4t-a95b-20260812,Qwen: Qwen3.8 2.4T A95B,1786551702,"Qwen3.8 2.4T A95B is an open-weight sparse mixture-of-experts model from Qwen and the open-weight variant of [Qwen3.8 Max](/qwen/qwen3.8-max), with 95 billion active parameters out of 2.4 trillion total. It is...",1048576,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,Qwen/Qwen3.8-2.4T-A95B,,,
qwen/qwen3.8-2.4t-a95b:batch,qwen/qwen3.8-2.4t-a95b-20260812,Qwen: Qwen3.8 2.4T A95B (batch),1786551702,"Qwen3.8 2.4T A95B is an open-weight sparse mixture-of-experts model from Qwen and the open-weight variant of [Qwen3.8 Max](/qwen/qwen3.8-max), with 95 billion active parameters out of 2.4 trillion total. It is...",1010000,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,Qwen/Qwen3.8-2.4T-A95B,,,
bytedance-seed/seed-2.0-code,bytedance-seed/seed-2.0-code-20260730,ByteDance Seed: Seed-2.0-Code,1786550701,"Seed 2.0 Code is a model from ByteDance Seed optimized for agentic coding. It is suited for frontend development, multilingual programming tasks, and coding-agent workflows in tools such as Claude...",262144,frequency_penalty; include_reasoning; max_tokens; reasoning; reasoning_effort; response_format; stop; structured_outputs; temperature; tool_choice; tools; top_p,,,,
deepseek/deepseek-v4-pro-0813,deepseek/deepseek-v4-pro-20260813,DeepSeek: DeepSeek V4 Pro 0813,1786549364,DeepSeek V4 Pro 0813 is a large-scale mixture-of-experts model from DeepSeek. This is the GA release of DeepSeek V4 Pro.,1048576,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,deepseek-ai/DeepSeek-V4-Pro-0813,,,
deepseek/deepseek-v4-pro-0813:batch,deepseek/deepseek-v4-pro-20260813,DeepSeek: DeepSeek V4 Pro 0813 (batch),1786549364,DeepSeek V4 Pro 0813 is a large-scale mixture-of-experts model from DeepSeek. This is the GA release of DeepSeek V4 Pro.,1048576,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,deepseek-ai/DeepSeek-V4-Pro-0813,,,
x-ai/grok-4.6,x-ai/grok-4.6-20260810,SpaceXAI: Grok 4.6,1786548957,"Grok 4.6 is SpaceXAI's smartest model with frontier performance on coding, knowledge work, and STEM.",500000,include_reasoning; logprobs; max_tokens; reasoning; reasoning_effort; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,,,,
liquid/lfm-2.5-2.6b:free,liquid/lfm-2.5-2.6b-20260811,LiquidAI: LFM2.5-2.6B (free),1786470519,"LFM2.5-2.6B is a compact reasoning model from Liquid AI. It is suited for agent workflows, data extraction, RAG, and long-context processing. Liquid advises against using it for agentic coding or...",65536,frequency_penalty; include_reasoning; logprobs; max_completion_tokens; max_tokens; min_p; presence_penalty; reasoning; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs,LiquidAI/LFM2.5-2.6B,,,
nvidia/nemotron-3.5-lightning,nvidia/nemotron-3.5-lightning-20260807,NVIDIA: Nemotron 3.5 Lightning,1786452751,"NVIDIA Nemotron 3.5 Lightning is an open mixture-of-experts model from NVIDIA, with 3B active parameters out of 30B total. It is suited for high-throughput agentic workloads and specialized tasks that...",262144,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-BF16,,,
nvidia/nemotron-3.5-lightning:free,nvidia/nemotron-3.5-lightning-20260807,NVIDIA: Nemotron 3.5 Lightning (free),1786452751,"NVIDIA Nemotron 3.5 Lightning is an open mixture-of-experts model from NVIDIA, with 3B active parameters out of 30B total. It is suited for high-throughput agentic workloads and specialized tasks that...",1000000,include_reasoning; max_tokens; reasoning; seed; temperature; tool_choice; tools; top_p,nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-BF16,,,
sakana/sakana-namazu,sakana/namazu-20260811,Sakana: Sakana Namazu,1786410129,"Sakana Namazu is a Japanese-specialized reasoning model from Sakana AI, based on Kimi K2.6 with additional training for Japanese language and business contexts. It is suited for Japanese instruction following,...",262144,include_reasoning; reasoning; reasoning_effort; structured_outputs; tool_choice; tools; web_search_options,,,,
upstage/solar-pro4,upstage/solar-pro4-20260810,Upstage: Solar Pro 4,1786371636,"Solar Pro 4 is Upstage's cost-efficient large language model, featuring a 524K context window. It is built for long-horizon tasks and agentic workflows, with strong capabilities in office productivity, document-intensive...",524288,frequency_penalty; include_reasoning; max_tokens; parallel_tool_calls; presence_penalty; reasoning; response_format; structured_outputs; temperature; tool_choice; tools; top_p,,,,
